RGUID,QueryPhrase,UserId,AdType,KeywordId,CampaignId,AccountId,OrderId,AdId,Hour,Age,Gender,InMarket,Industry,JobFunction,Company,Remarketing,DMP,DynamicRemarketing
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
88bef9ec78f64a4b8602d03a739ad488,,1.98E+29,0,5.51E+13,0,0,0,5.51E+13,15,4,2,805685083;805685095;805685097;805685098;805685103;805685114;805685115;805685116;805685118;805685122;805685145;805685153;805685165;805685167;805685180;805685184;805685187;806054742;806054748;806054764;806054774;806054776;806054777;806054788;806054830;806054858;806054859;806054863;806054866;806054875;806054885;806054886;806054887;806054893;806054922;806054929;806054946;806054947;806054950;806054980;806054991;806055031;806055035;806055039;806055042;806055044;806055051;806055059;806055062;806056827;806056830;806056844;806056847;806056849;806056859;806056960;806056961,,,,805422384;805462911;805462914;805462970;805473511;805484490;805484491;805484492;805595765;805643834;805643837;805646687;805647492;805647551;805647653;805658906;805659707;805832712;805859336;805874379;805874394;805874802;805922101;805922102;806124275;806148992;806381093;806393115;806393117;806414381;806427551;806438469;806463475;806475219;806475236;806475238;806475240;806475242;806475244;806517180;806517195;806517196;806517203;806517207;806552657;806555318;807584448;807584450;807584452;807584454;807584456;807584460;807584469,805933315;805934177;805934182;805983794;805983798;805983802;805983803;805983824;805983840;806013366;806024757;806024760;806024761;806024766;806024779;806024782;806024792;806024941;806024943;806024951;806054439;806069862;806080684;806112516;806123614;806123618;806237930;806281264;806296801;806296817;806298018;806298020;806298037;806378605;806378621;806378631;806378641;806378651;806378652;806382573;806405820;806405892;806405897;806406676;806407398;806407413;806414189;806416009;806416646;806416650;806416656;806427894;806427895;806438583;806438652;806475388;806475389;806475399;806475530;806518221;806540474;806541408;806541861;806541863;806541865;806541873;806541881;806541883;806541884;806541891;806541897;806541916;806541924;806541934;806541935;806541940;806541943;806541947;806541949;806541954;806541958;806541970;806541998;806542005;806542023;806542031;806542035;806542045;806542048;806542059;806542062;806542069;806542090;806542106;806542123;806542126;806542128;806542132;806542145;806542163;806552793;806553504;806555598;806555857;806555998;806556006;807580892;807583139;807583280;807584720;807584755,
3ca725774b45416ea0e51ff3b174e5c3,,2.96E+31,0,5.51E+13,0,0,0,5.51E+13,0,0,0,805685095;805685097;805685103;805685115;805685116;806054893;806054922;806054946;806055059,,,,,,
